"county","state","income","age"
"Jones County","Iowa","55041","43.1"
"Keokuk County","Iowa","42167","44"
"Kossuth County","Iowa","51812","46.8"
"Lee County","Iowa","42469","42.8"
"Linn County","Iowa","57260","36.9"
"Louisa County","Iowa","50583","39.7"
"Lucas County","Iowa","43288","44.3"
"Lyon County","Iowa","52152","38"
"Madison County","Iowa","57581","40.1"
"Mahaska County","Iowa","47967","39.3"
"Marion County","Iowa","54723","38.6"
"Marshall County","Iowa","51555","38.9"
"Mills County","Iowa","63076","41.8"
"Mitchell County","Iowa","51078","44.6"
"Monona County","Iowa","42025","46.8"
"Monroe County","Iowa","45997","42.3"
"Montgomery County","Iowa","44281","45.2"
"Muscatine County","Iowa","51425","38.2"
"O'Brien County","Iowa","48185","44"
"Osceola County","Iowa","48659","43.7"
"Page County","Iowa","43010","43.8"
"Palo Alto County","Iowa","44663","42.9"
"Plymouth County","Iowa","58888","42.4"
"Pocahontas County","Iowa","44073","47.4"
"Polk County","Iowa","59018","34.8"
"Pottawattamie County","Iowa","51304","38.6"
"Poweshiek County","Iowa","50349","40.9"
"Ringgold County","Iowa","44551","46"
"Sac County","Iowa","48093","46.5"
"Scott County","Iowa","52735","37.4"
"Shelby County","Iowa","48783","46.2"
"Sioux County","Iowa","57227","33.2"
"Story County","Iowa","50516","26.5"
"Tama County","Iowa","51670","42.2"
"Taylor County","Iowa","43804","44.4"
"Union County","Iowa","44838","41.3"
"Van Buren County","Iowa","43181","44.1"
"Wapello County","Iowa","41425","39.8"
"Warren County","Iowa","62535","38.8"
"Washington County","Iowa","54554","42"
"Wayne County","Iowa","40024","45.3"
"Webster County","Iowa","41624","40"
"Winnebago County","Iowa","45603","43.8"
"Winneshiek County","Iowa","53122","40.6"
"Woodbury County","Iowa","45856","35.3"
"Worth County","Iowa","50476","44"
"Wright County","Iowa","45205","44.6"
"Allen County","Kansas","40554","40.9"
"Anderson County","Kansas","41713","42.3"
"Atchison County","Kansas","45212","36.1"
"Barber County","Kansas","45920","46.1"
"Barton County","Kansas","44981","39.8"
"Bourbon County","Kansas","39591","37.9"
"Brown County","Kansas","39968","41.8"
"Butler County","Kansas","56454","37.5"
"Chase County","Kansas","36815","45.8"
"Chautauqua County","Kansas","39529","48.7"
"Cherokee County","Kansas","39746","40.5"
"Cheyenne County","Kansas","37875","49.6"
"Clark County","Kansas","41129","43.9"
"Clay County","Kansas","45233","44.3"
"Cloud County","Kansas","38534","42"
"Coffey County","Kansas","51793","44"
"Comanche County","Kansas","39375","44.9"
"Cowley County","Kansas","41878","38.4"
"Crawford County","Kansas","37378","32.9"
"Decatur County","Kansas","39333","52.2"
"Dickinson County","Kansas","48890","41.5"
"Doniphan County","Kansas","46512","38.3"
"Douglas County","Kansas","49508","28.6"
"Edwards County","Kansas","46551","44.2"
"Elk County","Kansas","34089","49.5"
"Ellis County","Kansas","43085","31.5"
"Ellsworth County","Kansas","45865","44"
"Finney County","Kansas","47945","30.6"
"Ford County","Kansas","51178","30.3"
"Franklin County","Kansas","49543","39"
"Geary County","Kansas","46908","26.8"
"Gove County","Kansas","44866","45.8"
"Graham County","Kansas","47500","49.7"
"Grant County","Kansas","53213","33.6"
"Gray County","Kansas","57808","35.1"
"Greeley County","Kansas","52847","49.9"
"Greenwood County","Kansas","38346","47"
"Hamilton County","Kansas","43357","37.8"
"Harper County","Kansas","38313","43.5"
"Harvey County","Kansas","50287","38.5"
"Haskell County","Kansas","52415","34.7"
"Hodgeman County","Kansas","52375","48"
"Jackson County","Kansas","54546","41.3"
"Jefferson County","Kansas","56875","43.1"
"Jewell County","Kansas","39884","51.8"
"Johnson County","Kansas","74717","36.5"
"Kearny County","Kansas","52264","35.7"
"Kingman County","Kansas","47466","45"
"Kiowa County","Kansas","44650","41.8"
"Labette County","Kansas","40916","40.7"
"Lane County","Kansas","53021","46.2"
"Leavenworth County","Kansas","63435","37.2"
"Lincoln County","Kansas","40811","46.4"
"Linn County","Kansas","45519","44.5"
"Logan County","Kansas","41765","44.4"
"Lyon County","Kansas","38981","32.2"
"McPherson County","Kansas","54167","41.8"
"Marion County","Kansas","45830","44.5"
"Marshall County","Kansas","44032","45"
"Meade County","Kansas","51000","39.2"
"Miami County","Kansas","58936","40.2"
"Mitchell County","Kansas","46667","43.8"
"Montgomery County","Kansas","39669","39.7"
"Morris County","Kansas","47445","47.4"
"Morton County","Kansas","46607","41.1"
"Nemaha County","Kansas","47122","42.1"
"Neosho County","Kansas","42071","40.2"
"Ness County","Kansas","48800","51.6"
"Norton County","Kansas","46029","44.6"
"Osage County","Kansas","50205","42.7"
"Osborne County","Kansas","37925","47.9"
"Ottawa County","Kansas","58396","42.4"
"Pawnee County","Kansas","44078","43.1"
"Phillips County","Kansas","43059","45.5"
"Pottawatomie County","Kansas","56854","34.7"
"Pratt County","Kansas","46035","39.6"
"Rawlins County","Kansas","43482","50.8"
"Reno County","Kansas","43798","39.5"
"Republic County","Kansas","39572","50.7"
"Rice County","Kansas","45336","37.5"
"Riley County","Kansas","43962","24.5"
"Rooks County","Kansas","42449","44.5"
"Rush County","Kansas","42610","48.7"
"Russell County","Kansas","37111","47.1"
"Saline County","Kansas","47215","37.8"
"Scott County","Kansas","50605","43.1"
"Sedgwick County","Kansas","49865","34.4"
"Seward County","Kansas","50185","29.2"
"Shawnee County","Kansas","48451","38.5"
"Sheridan County","Kansas","48674","46.6"
"Sherman County","Kansas","38634","38.7"
"Smith County","Kansas","45556","50.4"
"Stafford County","Kansas","43292","45.3"
"Stanton County","Kansas","46382","34.6"
"Stevens County","Kansas","54494","34.5"
"Sumner County","Kansas","47894","40.2"
"Thomas County","Kansas","48187","35.6"
"Trego County","Kansas","45714","46.5"
"Wabaunsee County","Kansas","54694","41.5"
"Wallace County","Kansas","47454","42.7"
"Washington County","Kansas","42515","46.2"
"Wichita County","Kansas","53018","39.3"
"Wilson County","Kansas","38917","44"
"Woodson County","Kansas","33839","48.5"
"Wyandotte County","Kansas","39402","33.1"
"Adair County","Kentucky","32524","39.9"
"Allen County","Kentucky","40008","39.6"
"Anderson County","Kentucky","52646","38.5"
"Ballard County","Kentucky","44588","41.7"
"Barren County","Kentucky","38873","39.8"
"Bath County","Kentucky","30797","40.4"
"Bell County","Kentucky","26228","40.9"
"Boone County","Kentucky","67225","36"
"Bourbon County","Kentucky","40933","40.4"
"Boyd County","Kentucky","40379","41.5"
"Boyle County","Kentucky","41473","41.1"
"Bracken County","Kentucky","39196","40.4"
"Breathitt County","Kentucky","24045","40.3"
"Breckinridge County","Kentucky","38907","41.9"
"Bullitt County","Kentucky","54836","38.5"
"Butler County","Kentucky","35430","40.3"
"Caldwell County","Kentucky","37127","42.6"
"Calloway County","Kentucky","39677","33.8"
"Campbell County","Kentucky","54306","37"
"Carlisle County","Kentucky","39049","42.3"
"Carroll County","Kentucky","40160","36.3"
"Carter County","Kentucky","36406","39.3"
"Casey County","Kentucky","29934","41.7"
"Christian County","Kentucky","38904","28.7"
"Clark County","Kentucky","45853","40.7"
"Clay County","Kentucky","21883","37.7"
"Clinton County","Kentucky","27100","40.8"
"Crittenden County","Kentucky","34261","42.4"
"Cumberland County","Kentucky","31593","43.7"
"Daviess County","Kentucky","46555","39.2"
"Edmonson County","Kentucky","37646","42.2"
"Elliott County","Kentucky","24246","41.4"
"Estill County","Kentucky","29184","42.1"
"Fayette County","Kentucky","48398","33.9"
"Fleming County","Kentucky","32495","40.6"
"Floyd County","Kentucky","30476","39.9"
"Franklin County","Kentucky","46071","40.2"
"Fulton County","Kentucky","33582","42.8"
"Gallatin County","Kentucky","43793","38.3"
"Garrard County","Kentucky","44652","41.3"
"Grant County","Kentucky","46159","36"
"Graves County","Kentucky","38394","40.4"
"Grayson County","Kentucky","32399","39.5"
"Green County","Kentucky","34406","43.8"
"Greenup County","Kentucky","44060","42.3"
"Hancock County","Kentucky","51189","41.5"
"Hardin County","Kentucky","48687","35.4"
"Harlan County","Kentucky","25906","40.8"
"Harrison County","Kentucky","36048","41.2"
"Hart County","Kentucky","33408","40.5"
"Henderson County","Kentucky","41940","39.4"
"Henry County","Kentucky","46016","40.6"
"Hickman County","Kentucky","34029","45.9"
"Hopkins County","Kentucky","40891","40.2"
"Jackson County","Kentucky","26156","39.4"
"Jefferson County","Kentucky","46959","38"
"Jessamine County","Kentucky","49024","36"
"Johnson County","Kentucky","34090","40.3"
"Kenton County","Kentucky","54270","36.4"
"Knott County","Kentucky","33889","40.9"
"Knox County","Kentucky","24038","38.9"
"Larue County","Kentucky","39753","40.3"
"Laurel County","Kentucky","36570","38"
"Lawrence County","Kentucky","33525","39.6"
"Lee County","Kentucky","22920","41.9"
"Leslie County","Kentucky","29293","42.1"
"Letcher County","Kentucky","31200","41.3"
"Lewis County","Kentucky","28388","39.9"
"Lincoln County","Kentucky","33651","39.8"
"Livingston County","Kentucky","40313","45.2"
"Logan County","Kentucky","36590","40.7"
"Lyon County","Kentucky","40112","47.8"
"McCracken County","Kentucky","44898","42.3"
"McCreary County","Kentucky","20972","38.6"
"McLean County","Kentucky","38833","41.9"
"Madison County","Kentucky","42312","33.7"
"Magoffin County","Kentucky","26877","39.6"
"Marion County","Kentucky","38719","38.5"
"Marshall County","Kentucky","43907","44.3"
"Martin County","Kentucky","26261","37.7"
"Mason County","Kentucky","41137","40.8"
"Meade County","Kentucky","46756","35.7"
"Menifee County","Kentucky","29108","41.6"
"Mercer County","Kentucky","45396","42.5"
"Metcalfe County","Kentucky","31750","42.7"
"Monroe County","Kentucky","29808","42.3"
"Montgomery County","Kentucky","37312","38.7"
"Morgan County","Kentucky","30658","39.2"
"Muhlenberg County","Kentucky","38105","41.1"
"Nelson County","Kentucky","43833","37.5"
"Nicholas County","Kentucky","43081","40.2"
"Ohio County","Kentucky","40830","40.1"
"Oldham County","Kentucky","83391","39.4"
"Owen County","Kentucky","41009","41.1"
"Owsley County","Kentucky","19986","42.7"
"Pendleton County","Kentucky","45480","40.1"
"Perry County","Kentucky","33528","41.5"
"Pike County","Kentucky","32961","40.7"
"Powell County","Kentucky","26839","37.9"
"Pulaski County","Kentucky","34092","41.5"
"Robertson County","Kentucky","31786","40.9"
"Rockcastle County","Kentucky","30674","41.5"
"Rowan County","Kentucky","35236","31.5"
"Russell County","Kentucky","29721","41.7"
"Scott County","Kentucky","61893","35.5"
"Shelby County","Kentucky","57298","38.3"
"Simpson County","Kentucky","39546","38.6"
"Spencer County","Kentucky","65209","39.5"
"Taylor County","Kentucky","36384","40.5"
"Todd County","Kentucky","41541","36.9"
"Trigg County","Kentucky","45629","44.4"
"Trimble County","Kentucky","49718","39.6"
"Union County","Kentucky","39125","37"
"Warren County","Kentucky","44135","32.7"
"Washington County","Kentucky","40845","40.7"
"Wayne County","Kentucky","29497","41.1"
"Webster County","Kentucky","41415","40.1"
"Whitley County","Kentucky","29769","38.1"
"Wolfe County","Kentucky","22574","41.6"
"Woodford County","Kentucky","57580","41.5"
"Acadia Parish","Louisiana","37587","35.5"
"Allen Parish","Louisiana","38429","38.9"
"Ascension Parish","Louisiana","69070","34.5"
"Assumption Parish","Louisiana","46116","39"
"Avoyelles Parish","Louisiana","33942","38.5"
"Beauregard Parish","Louisiana","46385","37.2"
"Bienville Parish","Louisiana","31543","41.6"
"Bossier Parish","Louisiana","53248","34.5"
"Caddo Parish","Louisiana","41053","36.3"
"Calcasieu Parish","Louisiana","43499","36"
"Caldwell Parish","Louisiana","39385","40.5"
"Cameron Parish","Louisiana","64574","40.7"
"Catahoula Parish","Louisiana","36165","38.6"
"Claiborne Parish","Louisiana","32996","40.7"
"Concordia Parish","Louisiana","29022","37.9"
"De Soto Parish","Louisiana","39162","39.6"
"East Baton Rouge Parish","Louisiana","48506","32.7"
"East Carroll Parish","Louisiana","25321","33.2"
"East Feliciana Parish","Louisiana","47225","40.9"
"Evangeline Parish","Louisiana","31832","35.8"
"Franklin Parish","Louisiana","31214","38.4"
"Grant Parish","Louisiana","39654","37.5"
"Iberia Parish","Louisiana","44262","35.6"
"Iberville Parish","Louisiana","45368","38.3"
"Jackson Parish","Louisiana","37388","39.2"
"Jefferson Parish","Louisiana","48261","38.6"
"Jefferson Davis Parish","Louisiana","41622","38.4"
"Lafayette Parish","Louisiana","51462","33.8"
"Lafourche Parish","Louisiana","50572","36.8"
"LaSalle Parish","Louisiana","42528","38.1"
"Lincoln Parish","Louisiana","35769","27.5"
"Livingston Parish","Louisiana","56811","35"
"Madison Parish","Louisiana","25498","34.5"
"Morehouse Parish","Louisiana","28585","38.5"
"Natchitoches Parish","Louisiana","33953","33.3"
"Orleans Parish","Louisiana","37146","35"
"Ouachita Parish","Louisiana","38955","34.4"
"Plaquemines Parish","Louisiana","55138","36.2"
"Pointe Coupee Parish","Louisiana","45363","42.6"
"Rapides Parish","Louisiana","40930","37.3"
"Red River Parish","Louisiana","39346","39.5"
"Richland Parish","Louisiana","36835","37.8"
"Sabine Parish","Louisiana","35159","41.2"
"St. Bernard Parish","Louisiana","41353","32.9"
"St. Charles Parish","Louisiana","58758","36.8"
"St. Helena Parish","Louisiana","33143","39.3"
"St. James Parish","Louisiana","55443","38.4"
"St. John the Baptist Parish","Louisiana","50635","35.7"
"St. Landry Parish","Louisiana","35503","36.9"
"St. Martin Parish","Louisiana","42186","36.6"
"St. Mary Parish","Louisiana","41571","37.6"
"St. Tammany Parish","Louisiana","60799","39.6"
"Tangipahoa Parish","Louisiana","40654","33.7"
"Tensas Parish","Louisiana","27543","41.9"
"Terrebonne Parish","Louisiana","49960","35.2"
"Union Parish","Louisiana","35828","40.9"
"Vermilion Parish","Louisiana","44665","36.4"
"Vernon Parish","Louisiana","46572","29.8"
"Washington Parish","Louisiana","31778","38.8"
"Webster Parish","Louisiana","35071","40.7"
"West Baton Rouge Parish","Louisiana","50926","35.5"
"West Carroll Parish","Louisiana","33848","40.7"
"West Feliciana Parish","Louisiana","61616","42.2"
"Winn Parish","Louisiana","34322","40"
"Androscoggin County","Maine","44921","40.2"
"Aroostook County","Maine","37855","45.7"
"Cumberland County","Maine","57461","41.5"
"Franklin County","Maine","41626","43.9"
"Hancock County","Maine","47460","46.7"
"Kennebec County","Maine","46808","43.2"
"Knox County","Maine","49755","46.8"
"Lincoln County","Maine","50181","48.6"
"Oxford County","Maine","40674","45"
"Penobscot County","Maine","43734","40.4"
"Piscataquis County","Maine","36646","48.5"
"Sagadahoc County","Maine","56733","44.5"
"Somerset County","Maine","38642","44.3"
"Waldo County","Maine","42221","44.4"
"Washington County","Maine","37236","46.2"
"York County","Maine","57348","43.4"
"Allegany County","Maryland","39293","41.2"
"Anne Arundel County","Maryland","87430","38.5"
"Baltimore County","Maryland","66486","39.1"
"Calvert County","Maryland","95477","40.3"
"Caroline County","Maryland","58632","39.2"
"Carroll County","Maryland","84790","41.6"
"Cecil County","Maryland","66689","39.6"
"Charles County","Maryland","93160","37.4"
"Dorchester County","Maryland","46361","43.1"
"Frederick County","Maryland","84570","38.7"
"Garrett County","Maryland","45206","43.4"
"Harford County","Maryland","80622","39.8"
"Howard County","Maryland","109865","38.4"
"Kent County","Maryland","56259","46.1"
"Montgomery County","Maryland","98221","38.4"
"Prince George's County","Maryland","73623","35.3"
"Queen Anne's County","Maryland","87256","42.8"
"St. Mary's County","Maryland","85672","36"
"Somerset County","Maryland","38447","36.6"
"Talbot County","Maryland","61597","48"
"Washington County","Maryland","55609","40"
"Wicomico County","Maryland","51092","35.4"
"Worcester County","Maryland","57952","48.5"
"Baltimore city","Maryland","41385","34.5"
"Barnstable County","Massachusetts","60526","50.4"
"Berkshire County","Massachusetts","48450","45.1"
"Bristol County","Massachusetts","55298","40.2"
"Dukes County","Massachusetts","66288","45.6"
"Essex County","Massachusetts","67311","40.6"
"Franklin County","Massachusetts","53663","44.6"
"Hampden County","Massachusetts","49094","38.7"
"Hampshire County","Massachusetts","61227","35.9"
"Middlesex County","Massachusetts","82090","38.6"
"Nantucket County","Massachusetts","85478","39.9"
"Norfolk County","Massachusetts","84916","40.7"
"Plymouth County","Massachusetts","75092","41.5"
"Suffolk County","Massachusetts","53540","31.8"
"Worcester County","Massachusetts","65223","39.4"
"Alcona County","Michigan","37189","55.8"
"Alger County","Michigan","37586","48.1"
"Allegan County","Michigan","52061","39.6"
"Alpena County","Michigan","38016","46.4"
"Antrim County","Michigan","45362","48.3"
"Arenac County","Michigan","38874","47.3"
"Baraga County","Michigan","41189","44.4"
"Barry County","Michigan","52186","41.9"
"Bay County","Michigan","45376","41.8"
"Benzie County","Michigan","47366","47.4"
"Berrien County","Michigan","43633","41.2"
"Branch County","Michigan","41856","40.1"
"Calhoun County","Michigan","42110","39.6"
"Cass County","Michigan","44346","43.1"
"Charlevoix County","Michigan","45949","45.9"
"Cheboygan County","Michigan","38410","48"
"Chippewa County","Michigan","41637","39.5"
"Clare County","Michigan","32668","45.8"
"Clinton County","Michigan","60466","38.9"
"Crawford County","Michigan","40295","48"
"Delta County","Michigan","42676","46"
"Dickinson County","Michigan","44136","45.7"
"Eaton County","Michigan","54115","40.5"
"Emmet County","Michigan","50929","43.5"
"Genesee County","Michigan","42089","38.8"
"Gladwin County","Michigan","37626","48.2"
"Gogebic County","Michigan","34252","47.5"
"Grand Traverse County","Michigan","51766","41.1"
"Gratiot County","Michigan","40359","38.5"
"Hillsdale County","Michigan","41759","41.2"
"Houghton County","Michigan","35430","33.1"
"Huron County","Michigan","40204","47.3"
"Ingham County","Michigan","45321","31.4"
"Ionia County","Michigan","47892","36.8"
"Iosco County","Michigan","36236","51.5"
"Iron County","Michigan","34685","52.1"
"Isabella County","Michigan","36372","25.6"
"Jackson County","Michigan","46615","39.8"
"Kalamazoo County","Michigan","45775","34"
"Kalkaska County","Michigan","40140","43.5"
"Kent County","Michigan","51667","34.6"
"Keweenaw County","Michigan","39038","52.7"
"Lake County","Michigan","29379","50.7"
"Lapeer County","Michigan","52939","42.3"
"Leelanau County","Michigan","55018","51.2"
"Lenawee County","Michigan","47766","40.5"
"Livingston County","Michigan","72359","41.4"
"Luce County","Michigan","39469","43.4"
"Mackinac County","Michigan","38704","49.6"
"Macomb County","Michigan","53451","40.3"
"Manistee County","Michigan","41551","47.6"
"Marquette County","Michigan","45622","39.4"
"Mason County","Michigan","41136","45.4"
"Mecosta County","Michigan","39470","34.3"
"Menominee County","Michigan","41739","46.8"
"Midland County","Michigan","53076","40.5"
"Missaukee County","Michigan","41061","42.2"
"Monroe County","Michigan","53972","41"
"Montcalm County","Michigan","40451","39.4"
"Montmorency County","Michigan","35261","52.8"
"Muskegon County","Michigan","40979","38.8"
"Newaygo County","Michigan","42571","41.5"
"Oakland County","Michigan","65594","40.5"
"Oceana County","Michigan","40023","42.4"
"Ogemaw County","Michigan","34619","48"
"Ontonagon County","Michigan","34620","53.6"
"Osceola County","Michigan","37788","41.8"
"Oscoda County","Michigan","33239","50.4"
"Otsego County","Michigan","47584","43.3"
"Ottawa County","Michigan","56453","34.6"
"Presque Isle County","Michigan","39652","52.1"
"Roscommon County","Michigan","33334","53.8"
"Saginaw County","Michigan","42331","40"
"St. Clair County","Michigan","48066","41.9"
"St. Joseph County","Michigan","44051","38.8"
"Sanilac County","Michigan","40478","43.2"
"Schoolcraft County","Michigan","35260","49.1"
"Shiawassee County","Michigan","46217","40.8"
"Tuscola County","Michigan","43039","42.3"
"Van Buren County","Michigan","45129","40.3"
"Washtenaw County","Michigan","59055","33.3"
"Wayne County","Michigan","41184","37.6"
"Wexford County","Michigan","40965","41.4"
"Aitkin County","Minnesota","41617","52"
"Anoka County","Minnesota","70380","37.4"
"Becker County","Minnesota","50214","42.6"
"Beltrami County","Minnesota","43231","33.4"
"Benton County","Minnesota","52200","34.6"
"Big Stone County","Minnesota","46313","49.3"
"Blue Earth County","Minnesota","49935","30"
"Brown County","Minnesota","48256","43.1"
"Carlton County","Minnesota","53016","41.2"
"Carver County","Minnesota","83773","36.6"
"Cass County","Minnesota","45045","47.5"
"Chippewa County","Minnesota","49434","42.8"
"Chisago County","Minnesota","67157","39.2"
"Clay County","Minnesota","52410","32.1"
"Clearwater County","Minnesota","43269","42.7"
"Cook County","Minnesota","52215","50.2"
"Cottonwood County","Minnesota","45294","44.4"
"Crow Wing County","Minnesota","47058","43.1"
"Dakota County","Minnesota","73732","37.1"
"Dodge County","Minnesota","69301","37.2"
"Douglas County","Minnesota","50905","43.9"
"Faribault County","Minnesota","44264","46.2"
"Fillmore County","Minnesota","50657","42.8"
"Freeborn County","Minnesota","44683","44.5"
"Goodhue County","Minnesota","56836","42.3"
"Grant County","Minnesota","50030","47"
"Hennepin County","Minnesota","64403","36"
"Houston County","Minnesota","52545","44.6"
"Hubbard County","Minnesota","45961","47.2"
"Isanti County","Minnesota","57353","38.2"
"Itasca County","Minnesota","46912","45.5"
"Jackson County","Minnesota","51681","44.1"
"Kanabec County","Minnesota","47068","43"
"Kandiyohi County","Minnesota","50149","40.1"
"Kittson County","Minnesota","48875","48.1"
"Koochiching County","Minnesota","41108","46.7"
"Lac qui Parle County","Minnesota","48468","49.2"
"Lake County","Minnesota","46939","48.8"
"Lake of the Woods County","Minnesota","44069","48.5"
"Le Sueur County","Minnesota","58922","40.6"
"Lincoln County","Minnesota","47861","46.7"
"Lyon County","Minnesota","49594","34.7"
"McLeod County","Minnesota","55170","39.4"
"Mahnomen County","Minnesota","40282","37.1"
"Marshall County","Minnesota","52198","44.2"
"Martin County","Minnesota","48530","45.5"
"Meeker County","Minnesota","53904","41.7"
"Mille Lacs County","Minnesota","47862","40"
"Morrison County","Minnesota","47649","40.8"
"Mower County","Minnesota","46004","38.6"
"Murray County","Minnesota","52160","47"
"Nicollet County","Minnesota","60115","34.3"
"Nobles County","Minnesota","48208","36.9"
"Norman County","Minnesota","45389","45.1"
"Olmsted County","Minnesota","66252","36.4"
"Otter Tail County","Minnesota","48961","46.4"
"Pennington County","Minnesota","45633","39.3"
"Pine County","Minnesota","43928","42.9"
"Pipestone County","Minnesota","46019","42.7"
"Polk County","Minnesota","50695","39.8"
"Pope County","Minnesota","52350","46"
"Ramsey County","Minnesota","54247","34.6"
"Red Lake County","Minnesota","47569","42.2"
"Redwood County","Minnesota","47447","42.6"
"Renville County","Minnesota","50802","43.9"
"Rice County","Minnesota","59915","35.4"
"Rock County","Minnesota","46623","41.6"
"Roseau County","Minnesota","50759","40.9"
"St. Louis County","Minnesota","46517","40.8"
"Scott County","Minnesota","86112","35.1"
"Sherburne County","Minnesota","73098","34.7"
"Sibley County","Minnesota","54017","40.9"
"Stearns County","Minnesota","54551","33.4"
"Steele County","Minnesota","56480","39.4"
"Stevens County","Minnesota","54206","33.3"
"Swift County","Minnesota","48026","44.4"
"Todd County","Minnesota","45000","42.2"
"Traverse County","Minnesota","45714","47.9"
"Wabasha County","Minnesota","53057","43.3"
"Wadena County","Minnesota","36928","43.4"
"Waseca County","Minnesota","53657","39.4"
"Washington County","Minnesota","81540","38.5"
"Watonwan County","Minnesota","49698","39.6"
"Wilkin County","Minnesota","50507","43"
"Winona County","Minnesota","47468","33.4"
"Wright County","Minnesota","71598","34.8"
"Yellow Medicine County","Minnesota","52510","43.2"
"Adams County","Mississippi","27381","40.3"
"Alcorn County","Mississippi","33600","40.4"
"Amite County","Mississippi","30750","44.4"
"Attala County","Mississippi","31641","40"
"Benton County","Mississippi","31060","39.5"
"Bolivar County","Mississippi","28599","34.3"
"Calhoun County","Mississippi","30000","40.3"
"Carroll County","Mississippi","31039","42"
"Chickasaw County","Mississippi","31061","38.2"
"Choctaw County","Mississippi","29876","42.8"
"Claiborne County","Mississippi","23689","32"
"Clarke County","Mississippi","31362","40.9"
"Clay County","Mississippi","30764","38.7"
"Coahoma County","Mississippi","26407","33.3"
"Copiah County","Mississippi","35421","37.9"
"Covington County","Mississippi","33381","38.6"
"DeSoto County","Mississippi","58505","35.4"
"Forrest County","Mississippi","36726","31.1"
"Franklin County","Mississippi","32372","41.7"
"George County","Mississippi","43958","35.9"
"Greene County","Mississippi","36888","36.7"
"Grenada County","Mississippi","34129","40.3"
"Hancock County","Mississippi","44522","41"
"Harrison County","Mississippi","43124","35.3"
"Hinds County","Mississippi","37626","33.3"
"Holmes County","Mississippi","22325","32.8"
"Humphreys County","Mississippi","23600","34.9"
"Issaquena County","Mississippi","24767","39.6"
"Itawamba County","Mississippi","36073","40"
"Jackson County","Mississippi","48943","36.9"
"Jasper County","Mississippi","31170","41.7"
"Jefferson County","Mississippi","26028","38.3"
"Jefferson Davis County","Mississippi","27186","41.2"
"Jones County","Mississippi","38074","36.9"
"Kemper County","Mississippi","29003","36.5"
"Lafayette County","Mississippi","43328","27.7"
"Lamar County","Mississippi","51154","33.3"
"Lauderdale County","Mississippi","36203","37"
"Lawrence County","Mississippi","38393","40.5"
"Leake County","Mississippi","32521","33.5"
"Lee County","Mississippi","42074","36.3"
"Leflore County","Mississippi","24480","32.7"
"Lincoln County","Mississippi","36498","37.8"
"Lowndes County","Mississippi","37868","36.1"
"Madison County","Mississippi","59904","36.3"
"Marion County","Mississippi","29400","37.6"
"Marshall County","Mississippi","36022","39.1"
"Monroe County","Mississippi","36308","39.5"
"Montgomery County","Mississippi","30466","41.7"
"Neshoba County","Mississippi","37050","35.5"
"Newton County","Mississippi","39190","37.6"
"Noxubee County","Mississippi","24338","36.7"
"Oktibbeha County","Mississippi","30987","25.3"
"Panola County","Mississippi","35715","36.5"
"Pearl River County","Mississippi","42510","40"
"Perry County","Mississippi","36124","39.5"
"Pike County","Mississippi","34841","36.8"
"Pontotoc County","Mississippi","39899","36"
"Prentiss County","Mississippi","32503","39.3"
"Quitman County","Mississippi","22863","38.5"
"Rankin County","Mississippi","57380","36.4"
"Scott County","Mississippi","34534","35.3"
"Sharkey County","Mississippi","35125","38.8"
"Simpson County","Mississippi","38362","38.2"
"Smith County","Mississippi","34753","39.8"
"Stone County","Mississippi","42963","35.6"
"Sunflower County","Mississippi","26619","33.7"
"Tallahatchie County","Mississippi","29853","35.2"
"Tate County","Mississippi","41494","36.4"
"Tippah County","Mississippi","34636","37.9"
"Tishomingo County","Mississippi","32592","42.7"
"Tunica County","Mississippi","31446","32.2"
"Union County","Mississippi","38373","37.2"
"Walthall County","Mississippi","31090","37.2"
"Warren County","Mississippi","41025","37.7"
"Washington County","Mississippi","28093","35.5"
"Wayne County","Mississippi","29925","37.6"
"Webster County","Mississippi","33524","40.4"
"Wilkinson County","Mississippi","33618","35.8"
"Winston County","Mississippi","30821","40"
"Yalobusha County","Mississippi","32930","40.5"
"Yazoo County","Mississippi","26336","35.5"
"Adair County","Missouri","34733","29"
"Andrew County","Missouri","54336","41.9"
"Atchison County","Missouri","44426","46.2"
"Audrain County","Missouri","43013","38.8"
"Barry County","Missouri","38710","42.4"
"Barton County","Missouri","40580","40.6"
"Bates County","Missouri","38579","42.1"
"Benton County","Missouri","32951","52.1"
"Bollinger County","Missouri","37716","42.1"
"Boone County","Missouri","48627","29.7"
"Buchanan County","Missouri","44363","36.8"
"Butler County","Missouri","34969","40.4"
"Caldwell County","Missouri","41169","41.7"
"Callaway County","Missouri","47964","37.9"
"Camden County","Missouri","43458","49.2"
"Cape Girardeau County","Missouri","46516","36"
"Carroll County","Missouri","46002","41.8"
"Carter County","Missouri","30962","40.5"
"Cass County","Missouri","60350","38.4"
"Cedar County","Missouri","30302","43.7"
"Chariton County","Missouri","39385","45.7"
"Christian County","Missouri","52838","36.9"
"Clark County","Missouri","40204","43.4"
"Clay County","Missouri","60936","36.3"
"Clinton County","Missouri","53826","40.8"
"Cole County","Missouri","53931","37.8"
"Cooper County","Missouri","45992","38.5"
"Crawford County","Missouri","35897","40.7"
"Dade County","Missouri","35483","46.9"
"Dallas County","Missouri","40120","42.6"
"Daviess County","Missouri","42393","40.8"
"DeKalb County","Missouri","44092","40.2"
